symbol,tv_ticker,sector,industry,description,grade,pass_tf,on_list,w1_score,d1_score,score,price,note
GGAL,NASDAQ:GGAL,Finance,Regional banks,Grupo Financiero Galicia S.A.,A,W1,True,3,2,5,51.78,W1 3/3：MA轉上；量價配合；大陽2根 | D1 2/3：量價配合 | 跌市反向：3M 16.6% vs SPY 12.9% | 領先MA：股 $51.78 [10下/20上/50上] 2/3 vs SPY $737.95 [10下/20下/50上] 1/3
IMVT,NASDAQ:IMVT,Health technology,Biotechnology,"Immunovant, Inc.",A,W1,True,3,2,5,38.7,W1 3/3：MA轉上；量價配合；大陽2根 | D1 2/3：MA轉上；股跌日量低 | 跌市反向：3M 58.6% vs SPY 12.9% | 領先MA：股 $38.67 [10上/20上/50上] 3/3 vs SPY $737.87 [10下/20下/50上] 1/3
JHX,NYSE:JHX,Non-energy minerals,Construction materials,James Hardie Industries plc.,A,W1,True,3,2,5,24.41,W1 3/3：MA轉上；量價配合；大陽1根 | D1 2/3：量價配合 | 跌市反向：3M 25.0% vs SPY 12.9% | 領先MA：股 $24.41 [10上/20上/50上] 3/3 vs SPY $737.98 [10下/20下/50上] 1/3
APH,NYSE:APH,Electronic technology,Electronic components,Amphenol Corporation,A,W1,True,2,2,4,161.3,W1 2/3：MA轉上；股跌日量低；大陽1根 | D1 2/3：量價配合 | 跌市反向：3M 23.4% vs SPY 12.9% | 領先MA：股 $161.30 [10上/20上/50上] 3/3 vs SPY $737.97 [10下/20下/50上] 1/3
APLD,NASDAQ:APLD,Technology services,Data processing services,Applied Digital Corporation,A,W1,True,3,1,4,45.71,W1 3/3：MA轉上；量價配合；大陽2根 | D1 1/3：股跌日量低 | 跌市反向：3M 67.7% vs SPY 12.9% | 領先MA：股 $45.71 [10上/20上/50上] 3/3 vs SPY $737.74 [10下/20下/50上] 1/3
BEN,NYSE:BEN,Finance,Investment managers,"Franklin Resources, Inc.",A+,W1+D1,True,2,2,4,34.0,W1 2/3：MA轉上；股跌日量低；大陽3根 | D1 2/3：MA轉上；股跌日量低；大陽2根 | 跌市反向：3M 44.3% vs SPY 12.9% | 領先MA：股 $34.00 [10上/20上/50上] 3/3 vs SPY $737.87 [10下/20下/50上] 1/3
CAKE,NASDAQ:CAKE,Consumer services,Restaurants,The Cheesecake Factory Incorporated,A,W1,True,2,2,4,76.35,W1 2/3：MA轉上；股跌日量低；大陽1根 | D1 2/3：量價配合；大陽2根 | 跌市反向：3M 35.8% vs SPY 12.9% | 領先MA：股 $76.35 [10上/20上/50上] 3/3 vs SPY $738.20 [10下/20下/50上] 1/3
CARR,NYSE:CARR,Producer manufacturing,Industrial machinery,Carrier Global Corporation,A,W1,True,3,1,4,71.2,W1 3/3：MA轉上；量價配合；大陽2根 | D1 1/3：股跌日量低；大陽2根 | 跌市反向：3M 22.6% vs SPY 12.9% | 領先MA：股 $71.20 [10上/20上/50上] 3/3 vs SPY $738.04 [10下/20下/50上] 1/3
COMP,NYSE:COMP,Finance,Real estate development,"Compass, Inc.",A,D1,True,2,2,4,9.86,W1 2/3：量價配合；大陽1根 | D1 2/3：MA轉上；股跌日量低；大陽2根 | 跌市反向：3M 16.5% vs SPY 12.9% | 領先MA：股 $9.86 [10上/20上/50上] 3/3 vs SPY $737.79 [10下/20下/50上] 1/3
ENTG,NASDAQ:ENTG,Producer manufacturing,Industrial machinery,"Entegris, Inc.",A,D1,True,1,3,4,169.3,W1 1/3：股升日量高；大陽2根 | D1 3/3：MA轉上；量價配合；大陽2根 | 跌市反向：3M 47.3% vs SPY 12.9% | 領先MA：股 $169.30 [10上/20上/50上] 3/3 vs SPY $738.15 [10下/20下/50上] 1/3
EQH,NYSE:EQH,Finance,Life/Health insurance,"Equitable Holdings, Inc.",A,D1,True,2,2,4,44.33,W1 2/3：量價配合；大陽2根 | D1 2/3：MA轉上；股跌日量低；大陽2根 | 跌市反向：3M 17.3% vs SPY 12.9% | 領先MA：股 $44.33 [10上/20上/50上] 3/3 vs SPY $737.74 [10下/20下/50上] 1/3
FAF,NYSE:FAF,Finance,Specialty insurance,First American Corporation (New),A,W1,True,2,2,4,69.18,W1 2/3：MA轉上；股跌日量低；大陽1根 | D1 2/3：MA轉上；股升日量高 | 跌市反向：3M 20.1% vs SPY 12.9% | 領先MA：股 $69.18 [10上/20上/50上] 3/3 vs SPY $737.79 [10下/20下/50上] 1/3
FLR,NYSE:FLR,Industrial services,Engineering & construction,Fluor Corporation,A,W1,True,3,1,4,53.24,W1 3/3：MA轉上；量價配合；大陽1根 | D1 1/3：股跌日量低；大陽3根 | 跌市反向：3M 13.4% vs SPY 12.9% | 領先MA：股 $53.24 [10上/20上/50上] 3/3 vs SPY $737.87 [10下/20下/50上] 1/3
ING,NYSE:ING,Finance,Major banks,"ING Group, N.V.",A,W1,True,2,2,4,31.75,W1 2/3：MA轉上；股跌日量低；大陽1根 | D1 2/3：MA轉上；股升日量高 | 跌市反向：3M 27.4% vs SPY 12.9% | 領先MA：股 $31.75 [10上/20上/50上] 3/3 vs SPY $737.93 [10下/20下/50上] 1/3
JBLU,NASDAQ:JBLU,Transportation,Airlines,JetBlue Airways Corporation,A,D1,True,1,3,4,5.53,W1 1/3：股跌日量低；大陽1根 | D1 3/3：MA轉上；量價配合；大陽2根 | 跌市反向：3M 31.8% vs SPY 12.9% | 領先MA：股 $5.53 [10上/20上/50上] 3/3 vs SPY $737.85 [10下/20下/50上] 1/3
LTH,NYSE:LTH,Consumer services,Other consumer services,"Life Time Group Holdings, Inc.",A+,W1+D1,True,2,2,4,36.79,W1 2/3：MA轉上；股跌日量低；大陽1根 | D1 2/3：MA轉上；股跌日量低；大陽2根 | 跌市反向：3M 39.0% vs SPY 12.9% | 領先MA：股 $36.79 [10上/20上/50上] 3/3 vs SPY $737.87 [10下/20下/50上] 1/3
MIDD,NASDAQ:MIDD,Producer manufacturing,Industrial machinery,The Middleby Corporation,A,W1,True,3,1,4,164.98,W1 3/3：MA轉上；量價配合；大陽2根 | D1 1/3：股跌日量低 | 跌市反向：3M 19.8% vs SPY 12.9% | 領先MA：股 $164.98 [10上/20上/50上] 3/3 vs SPY $737.79 [10下/20下/50上] 1/3
MIRM,NASDAQ:MIRM,Health technology,Pharmaceuticals: major,"Mirum Pharmaceuticals, Inc.",A,W1,True,2,2,4,106.05,W1 2/3：MA轉上；股跌日量低；大陽1根 | D1 2/3：MA轉上；股跌日量低 | 跌市反向：3M 18.6% vs SPY 12.9% | 領先MA：股 $106.05 [10上/20上/50上] 3/3 vs SPY $738.13 [10下/20下/50上] 1/3
SN,NYSE:SN,Consumer durables,Electronics/Appliances,"SharkNinja, Inc.",A,W1,True,2,2,4,135.46,W1 2/3：MA轉上；股跌日量低；大陽2根 | D1 2/3：量價配合；大陽2根 | 跌市反向：3M 28.8% vs SPY 12.9% | 領先MA：股 $135.46 [10上/20上/50上] 3/3 vs SPY $737.87 [10下/20下/50上] 1/3
UBS,NYSE:UBS,Finance,Investment managers,UBS Group AG Registered,A,D1,True,2,2,4,50.36,W1 2/3：MA轉上；股跌日量低 | D1 2/3：MA轉上；股跌日量低；大陽2根 | 跌市反向：3M 37.6% vs SPY 12.9% | 領先MA：股 $50.36 [10上/20上/50上] 3/3 vs SPY $737.97 [10下/20下/50上] 1/3
VCYT,NASDAQ:VCYT,Health technology,Medical specialties,"Veracyte, Inc.",A,W1,True,3,1,4,54.01,W1 3/3：MA轉上；量價配合；大陽2根 | D1 1/3：股升日量高 | 跌市反向：3M 61.0% vs SPY 12.9% | 領先MA：股 $54.01 [10上/20上/50上] 3/3 vs SPY $738.20 [10下/20下/50上] 1/3
VSXY,NYSE:VSXY,Retail trade,Apparel/Footwear retail,Victorias Secret & Co.,A,W1,True,3,1,4,80.07,W1 3/3：MA轉上；量價配合；大陽1根 | D1 1/3：股升日量高 | 跌市反向：3M 76.4% vs SPY 12.9% | 領先MA：股 $80.07 [10上/20上/50上] 3/3 vs SPY $738.13 [10下/20下/50上] 1/3
XYZ,NYSE:XYZ,Commercial services,Miscellaneous commercial services,"Block, Inc.",A,D1,True,1,3,4,71.96,W1 1/3：股跌日量低 | D1 3/3：MA轉上；量價配合；大陽2根 | 跌市反向：3M 17.6% vs SPY 12.9% | 領先MA：股 $71.96 [10上/20上/50上] 3/3 vs SPY $738.17 [10下/20下/50上] 1/3
AFRM,NASDAQ:AFRM,Technology services,Packaged software,"Affirm Holdings, Inc.",A,D1,True,1,2,3,71.26,W1 1/3：股跌日量低；大陽1根 | D1 2/3：MA轉上；股跌日量低；大陽2根 | 跌市反向：3M 54.4% vs SPY 12.9% | 領先MA：股 $71.26 [10上/20上/50上] 3/3 vs SPY $737.98 [10下/20下/50上] 1/3
APO,NYSE:APO,Finance,Investment managers,"Apollo Global Management, Inc. (New)",A,D1,True,1,2,3,133.13,W1 1/3：股跌日量低；大陽1根 | D1 2/3：MA轉上；股跌日量低；大陽2根 | 跌市反向：3M 21.0% vs SPY 12.9% | 領先MA：股 $133.13 [10下/20上/50上] 2/3 vs SPY $737.93 [10下/20下/50上] 1/3
CACC,NASDAQ:CACC,Finance,Finance/Rental/Leasing,Credit Acceptance Corporation,A,W1,True,2,1,3,585.77,W1 2/3：MA轉上；股跌日量低；大陽2根 | D1 1/3：MA轉上；大陽3根 | 跌市反向：3M 33.7% vs SPY 12.9% | 領先MA：股 $585.77 [10上/20上/50上] 3/3 vs SPY $738.13 [10下/20下/50上] 1/3
CNTA,NASDAQ:CNTA,Health technology,Pharmaceuticals: major,Centessa Pharmaceuticals plc,A,D1,True,1,2,3,40.15,W1 1/3：股跌日量低 | D1 2/3：MA轉上；股跌日量低；大陽2根 | 跌市反向：3M 54.8% vs SPY 12.9% | 領先MA：股 $40.15 [10上/20上/50上] 3/3 vs SPY $738.13 [10下/20下/50上] 1/3
ESI,NYSE:ESI,Process industries,Chemicals: major diversified,Element Solutions Inc.,A,D1,True,1,2,3,47.6,W1 1/3：股跌日量低；大陽2根 | D1 2/3：MA轉上；股跌日量低；大陽3根 | 跌市反向：3M 43.9% vs SPY 12.9% | 領先MA：股 $47.57 [10上/20上/50上] 3/3 vs SPY $737.95 [10下/20下/50上] 1/3
GE,NYSE:GE,Electronic technology,Aerospace & defense,GE Aerospace,A,W1,True,2,1,3,356.37,W1 2/3：MA轉上；股跌日量低；大陽1根 | D1 1/3：股跌日量低；大陽3根 | 跌市反向：3M 22.2% vs SPY 12.9% | 領先MA：股 $356.37 [10上/20上/50上] 3/3 vs SPY $737.96 [10下/20下/50上] 1/3
GH,NASDAQ:GH,Health technology,Medical specialties,"Guardant Health, Inc.",A,W1,True,3,0,3,130.88,W1 3/3：MA轉上；量價配合；大陽2根 | D1 0/3：未達 | 跌市反向：3M 54.0% vs SPY 12.9% | 領先MA：股 $130.88 [10上/20上/50上] 3/3 vs SPY $737.87 [10下/20下/50上] 1/3
HXL,NYSE:HXL,Electronic technology,Aerospace & defense,Hexcel Corporation,A,W1,True,2,1,3,97.82,W1 2/3：MA轉上；股跌日量低；大陽1根 | D1 1/3：股跌日量低；大陽4根 | 跌市反向：3M 23.7% vs SPY 12.9% | 領先MA：股 $97.82 [10上/20上/50上] 3/3 vs SPY $737.79 [10下/20下/50上] 1/3
INTC,NASDAQ:INTC,Electronic technology,Semiconductors,Intel Corporation,A,D1,True,1,2,3,137.04,W1 1/3：股升日量高；大陽4根 | D1 2/3：MA轉上；股跌日量低；大陽2根 | 跌市反向：3M 211.2% vs SPY 12.9% | 領先MA：股 $136.97 [10上/20上/50上] 3/3 vs SPY $737.96 [10下/20下/50上] 1/3
LIVN,NASDAQ:LIVN,Health technology,Medical specialties,LivaNova PLC,A,W1,True,2,1,3,79.46,W1 2/3：MA轉上；股跌日量低；大陽3根 | D1 1/3：股跌日量低 | 跌市反向：3M 25.6% vs SPY 12.9% | 領先MA：股 $79.46 [10上/20上/50上] 3/3 vs SPY $738.20 [10下/20下/50上] 1/3
