symbol,tv_ticker,sector,industry,description,grade,pass_tf,on_list,w1_score,d1_score,score,price,note
CACC,NASDAQ:CACC,Finance,Finance/Rental/Leasing,Credit Acceptance Corporation,A+,W1+D1,True,3,3,6,577.53,W1 3/3：MA轉上；量價配合 | D1 3/3：MA轉上；量價配合
CRBG,NYSE:CRBG,Finance,Life/Health insurance,Corebridge Financial Inc.,A,D1,True,2,3,5,29.09,W1 2/3：量價配合 | D1 3/3：MA轉上；量價配合
GGAL,NASDAQ:GGAL,Finance,Regional banks,Grupo Financiero Galicia S.A.,A,W1,True,3,2,5,53.33,W1 3/3：MA轉上；量價配合 | D1 2/3：量價配合
COLD,NYSE:COLD,Finance,Real estate investment trusts,"Americold Realty Trust, Inc.",A,W1,True,3,2,5,13.97,W1 3/3：MA轉上；量價配合 | D1 2/3：量價配合
MUFG,NYSE:MUFG,Finance,Major banks,"Mitsubishi UFJ Financial Group, Inc.",A,W1,True,3,1,4,20.86,W1 3/3：MA轉上；量價配合 | D1 1/3：升量>跌量
SAN,NYSE:SAN,Finance,Major banks,"Banco Santander, S.A. Sponsored",A,W1,True,3,1,4,13.71,W1 3/3：MA轉上；量價配合 | D1 1/3：MA轉上
BEN,NYSE:BEN,Finance,Investment managers,"Franklin Resources, Inc.",A,W1,True,3,1,4,33.93,W1 3/3：MA轉上；量價配合 | D1 1/3：MA轉上
FAF,NYSE:FAF,Finance,Specialty insurance,First American Corporation (New),A,W1,True,3,1,4,68.28,W1 3/3：MA轉上；量價配合 | D1 1/3：MA轉上
GS,NYSE:GS,Finance,Investment banks/Brokers,"Goldman Sachs Group, Inc. (The)",A,W1,True,3,0,3,1106.37,W1 3/3：MA轉上；量價配合 | D1 0/3：未達
ING,NYSE:ING,Finance,Major banks,"ING Group, N.V.",A,W1,True,3,0,3,32.2,W1 3/3：MA轉上；量價配合 | D1 0/3：未達
EQH,NYSE:EQH,Finance,Life/Health insurance,"Equitable Holdings, Inc.",A,D1,True,0,3,3,44.98,W1 0/3：未達 | D1 3/3：MA轉上；量價配合
