symbol,tv_ticker,sector,industry,description,grade,pass_tf,on_list,w1_score,d1_score,score,price,note
CACC,NASDAQ:CACC,Finance,Finance/Rental/Leasing,Credit Acceptance Corporation,A+,W1+D1,True,3,3,6,577.53,W1 3/3：MA轉上；量價配合 | D1 3/3：MA轉上；量價配合
IMVT,NASDAQ:IMVT,Health technology,Biotechnology,"Immunovant, Inc.",A+,W1+D1,True,3,3,6,38.1,W1 3/3：MA轉上；量價配合 | D1 3/3：MA轉上；量價配合
LTH,NYSE:LTH,Consumer services,Other consumer services,"Life Time Group Holdings, Inc.",A+,W1+D1,True,3,3,6,37.33,W1 3/3：MA轉上；量價配合 | D1 3/3：MA轉上；量價配合
NUVL,NASDAQ:NUVL,Health technology,Pharmaceuticals: major,"Nuvalent, Inc.",A+,W1+D1,True,3,3,6,123.42,W1 3/3：MA轉上；量價配合 | D1 3/3：MA轉上；量價配合
AAL,NASDAQ:AAL,Transportation,Airlines,"American Airlines Group, Inc.",A,D1,True,2,3,5,16.08,W1 2/3：量價配合 | D1 3/3：MA轉上；量價配合
AAON,NASDAQ:AAON,Producer manufacturing,Industrial machinery,"AAON, Inc.",A,W1,True,3,2,5,136.16,W1 3/3：MA轉上；量價配合 | D1 2/3：量價配合
ACMR,NASDAQ:ACMR,Producer manufacturing,Industrial machinery,"ACM Research, Inc.",A,W1,True,3,2,5,103.17,W1 3/3：MA轉上；量價配合 | D1 2/3：量價配合
APH,NYSE:APH,Electronic technology,Electronic components,Amphenol Corporation,A,W1,True,3,2,5,165.96,W1 3/3：MA轉上；量價配合 | D1 2/3：量價配合
AS,NYSE:AS,Consumer durables,Recreational products,"Amer Sports, Inc.",A,D1,True,2,3,5,36.11,W1 2/3：量價配合 | D1 3/3：MA轉上；量價配合
CARR,NYSE:CARR,Producer manufacturing,Industrial machinery,Carrier Global Corporation,A,W1,True,3,2,5,71.85,W1 3/3：MA轉上；量價配合 | D1 2/3：量價配合
COLD,NYSE:COLD,Finance,Real estate investment trusts,"Americold Realty Trust, Inc.",A,W1,True,3,2,5,13.97,W1 3/3：MA轉上；量價配合 | D1 2/3：量價配合
CRBG,NYSE:CRBG,Finance,Life/Health insurance,Corebridge Financial Inc.,A,D1,True,2,3,5,29.09,W1 2/3：量價配合 | D1 3/3：MA轉上；量價配合
DAL,NYSE:DAL,Transportation,Airlines,"Delta Air Lines, Inc.",A,W1,True,3,2,5,85.92,W1 3/3：MA轉上；量價配合 | D1 2/3：量價配合
F,NYSE:F,Consumer durables,Motor vehicles,Ford Motor Company,A,W1,True,3,2,5,14.11,W1 3/3：MA轉上；量價配合 | D1 2/3：量價配合
