Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-0.519896020795837,151808778,0.9893055457288625,4815799838368.706,USD,30.47566541088548,6.5298,USD,110.33338701884364,0.01999600079984,Electronic technology,Strong buy,199,USD,Semiconductors
AAPL,Apple Inc.,-0.414542983350332,53081804,1.0297874321703102,4304570248445.9497,USD,35.4539406036412,8.2665,USD,29.004822172630675,0.35677879714577,Electronic technology,Buy,293.08,USD,Telecommunications equipment
GOOGN,Alphabet Inc. - Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,-0.14236322961155234,1324198,0.33837409799351165,4193478188948,USD,3.745489774278936,13.1091,USD,46.187815730487436,0.242683384855401,Technology services,No rating,49.1,USD,Internet software/Services
GOOGM,Alphabet Inc. - Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,-0.24429967426709578,1408831,0.20102874281048752,4193478188948,USD,3.7378614855329504,13.1091,USD,46.187815730487436,0.242683384855401,Technology services,No rating,49,USD,Internet software/Services
GOOGL,Alphabet Inc.,-0.24268338485539392,44996576,1.3610600095854355,4183301314135.8877,USD,26.339718211013725,13.1091,USD,46.187815730487436,0.242683384855401,Technology services,Strong buy,345.29,USD,Internet software/Services
GOOG,Alphabet Inc.,-0.3005085529357269,23898374,1.08968468448525,4180876428324.7173,USD,26.32064748914876,13.1091,USD,46.187815730487436,0.242718446601942,Technology services,Strong buy,345.04,USD,Internet software/Services
MSFT,Microsoft Corporation,-2.2677434882601535,44509439,1.109039115104103,2714795715790.487,USD,21.766398055997286,16.7901,USD,29.74746147782946,0.952024388939402,Technology services,Strong buy,365.46,USD,Packaged software
AMZN,"Amazon.com, Inc.",0.06834394088248968,70282579,1.400646032446714,2520068019851.4873,USD,27.996940616895927,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy,234.27,USD,Internet retail
SPCX,Space Exploration Technologies Corp,-1.0057011081929546,76099348,,2037423363745.7727,USD,,,,,0,Communications,Buy,154.54,USD,Specialty telecommunications
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,1.0105639450949897,9991168,0.659668096064362,2033036799557.5115,USD,36.6353338153772,12.0321,USD,54.805465493283926,0.604038360182406,Electronic technology,Strong buy,440.8,USD,Semiconductors
AVGO,Broadcom Inc.,0.5050637906089743,29938137,0.863733265201291,1817728591264.3386,USD,63.60412851673048,6.007,USD,125.81008946695735,0.65237406286992,Electronic technology,Strong buy,382.07,USD,Semiconductors
META,"Meta Platforms, Inc.",-0.8057630736392896,13963563,0.8079524380013217,1415602455500.8306,USD,20.274043320512167,27.5066,USD,7.29342195593833,0.373532550693703,Technology services,Strong buy,557.67,USD,Internet software/Services
TSLA,"Tesla, Inc.",-1.5932496527868873,37081288,0.7348032237575021,1410386841691.0354,USD,343.0750959254522,1.0946,USD,-39.80422349318082,0,Consumer durables,Neutral,375.53,USD,Motor vehicles
MU,"Micron Technology, Inc.",-0.3099536971010764,68918324,1.2663156134667355,1182440407513.0774,USD,49.50168308838457,21.1813,USD,409.11691183540046,0.0470635214923415,Electronic technology,Strong buy,1048.51,USD,Semiconductors
BRK.A,Berkshire Hathaway Inc.,0.6912374158825217,150,0.5411255411255411,1069546018906.3811,USD,14.743076246352063,50389.755,USD,-10.480948284775364,0,Finance,Buy,742900,USD,Property/Casualty insurance
BRK.B,Berkshire Hathaway Inc. New,0.4058359205373268,4707794,0.8463021753829837,1066514546026.0819,USD,14.729469059214363,33.5932,USD,-10.480916050876308,0,Finance,Buy,494.81,USD,Property/Casualty insurance
LLY,Eli Lilly and Company,0.9195360768869516,2908240,0.9585817114736421,1052169948142.8066,USD,40.216694863395844,27.781,USD,130.14091274344932,0.58351699967482,Health technology,Buy,1117.26,USD,Pharmaceuticals: major
WMT,Walmart Inc.,-0.35169988276670716,20599990,0.9112253892500196,947011398565.592,USD,41.92059745658224,2.8387,USD,21.780351780351772,0.808072349690169,Retail trade,Strong buy,119,USD,Specialty stores
JPM,JP Morgan Chase & Co.,-0.20650026934817675,7907052,0.7545651223685299,893483140378.4661,USD,15.971816413921273,20.8774,USD,2.4753228521923547,1.76572694080326,Finance,Buy,333.45,USD,Major banks
AMD,"Advanced Micro Devices, Inc.",-0.021159949985575386,26547869,0.8384674002357758,847488308733.9705,USD,170.57993370310808,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,519.74,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-0.8822239465605104,2028153,0.834307132429972,678626810395.0852,USD,58.77624103070234,29.9912,USD,26.402744587321447,0.419903624484104,Electronic technology,Buy,1762.77,USD,Semiconductors
INTC,Intel Corporation,-0.4762624735409703,104583419,0.7023263719930801,661672893894.2186,USD,,-0.6263,USD,85.99601994499474,0,Electronic technology,Neutral,131.65,USD,Semiconductors
V,Visa Inc.,1.14162201656113,8197208,0.9363420742613623,625962824408.2457,USD,29.207289734415248,11.3749,USD,15.69616648189022,0.79152459814905,Finance,Strong buy,332.23,USD,Finance/Rental/Leasing
JNJ,Johnson & Johnson,0.803078467458586,8139188,0.8670526351964192,580139311328.1494,USD,27.8651373600962,8.6488,USD,-3.8584243933347526,2.19173498410574,Health technology,Buy,241,USD,Pharmaceuticals: major
XOM,Exxon Mobil Corporation,-2.025334573820929,16212918,0.7927102751280356,567443263313.9432,USD,23.101196402355683,5.9261,USD,-21.597914957796423,2.91991698275245,Energy minerals,Buy,136.9,USD,Integrated oil
TCEHY,Tencent Holding Ltd.,2.5736665423349545,4673060,1.1399589083388204,477362585786.8281,USD,15.391934626255841,3.5733,USD,21.10418220023046,1.14340478620846,Technology services,Strong buy,55,USD,Packaged software
CSCO,"Cisco Systems, Inc.",-1.1721007016095761,21752860,0.9112632120610822,471907996277.98645,USD,39.03305731238182,3.0674,USD,25.71311475409837,1.36194799834915,Electronic technology,Buy,119.73,USD,Telecommunications equipment
LRCX,Lam Research Corporation,0.9344787655185488,12016617,0.8426688572314001,468714010687.96277,USD,70.7423415941564,5.2981,USD,47.59583240472476,0.271995260280613,Producer manufacturing,Buy,374.8,USD,Industrial machinery
AMAT,"Applied Materials, Inc.",0.527411756673727,10726498,0.9184652792959118,467618278559.35394,USD,55.33872028563375,10.643,USD,29.538345443701996,0.326005325322592,Producer manufacturing,Strong buy,588.97,USD,Industrial machinery
CAT,"Caterpillar, Inc.",1.037348614159152,3525889,1.0160379112219444,458080483897.6149,USD,49.47364755280937,20.1006,USD,-2.04958774340682,0.613671462244981,Producer manufacturing,Buy,994.45,USD,Trucks/Construction/Farm machinery
ORCL,Oracle Corporation,-4.619762654395735,38304979,1.2480399847924428,453760598384.0426,USD,27.04470539761022,5.8248,USD,34.18415535948765,1.21094696052313,Technology services,Buy,157.53,USD,Packaged software
MA,Mastercard Incorporated,1.298993996762766,3609736,0.9087016103345038,436852712608.52264,USD,28.613345679726837,17.279,USD,21.205106621773286,0.667936976253406,Finance,Strong buy,494.41,USD,Finance/Rental/Leasing
COST,Costco Wholesale Corporation,0.3560688330131236,2020218,0.954503356985138,426223056623.3639,USD,48.34019052600872,19.8818,USD,12.777024612434968,0.560730097736196,Retail trade,Buy,961.09,USD,Specialty stores
ABBV,AbbVie Inc.,0.05537570284545726,7311033,1.2021216241022277,415001962045.69385,USD,115.85203452527743,2.0275,USD,-13.546819034623924,2.87101720906458,Health technology,Buy,234.89,USD,Pharmaceuticals: major
BAC,Bank of America Corporation,-0.3108271455707127,30324844,0.8006692842838667,409686158788.6004,USD,14.324351148826361,4.0302,USD,20.322436184505147,1.89949922293214,Finance,Strong buy,57.73,USD,Major banks
ARM,Arm Holdings plc,-1.9951417888042802,8663855,0.6203238343654087,389838975586,USD,424.24385633270316,0.8464,USD,13.595490538182803,0,Electronic technology,Buy,359.08,USD,Semiconductors
GE,GE Aerospace,2.6397733329592863,6453721,1.269183139146534,381736245414.00183,USD,45.092432832141974,8.114,USD,26.528193612774466,0.434819199371616,Electronic technology,Buy,365.88,USD,Aerospace & defense
UNH,UnitedHealth Group Incorporated,-0.8430054978619398,6858810,0.9921025494762113,368524976476.90265,USD,30.64769500332306,13.2408,USD,-44.64988148934658,2.16004886988393,Health services,Buy,405.8,USD,Managed health care
PG,Procter & Gamble Company (The),0.7821821556409772,8618460,0.9713726030268081,354040211803.0038,USD,22.236522654810308,6.8374,USD,8.592211422400094,2.82308100225374,Consumer non-durables,Buy,152.04,USD,Household/Personal care
MS,Morgan Stanley,-2.729726142547444,6971000,1.0399716714760072,346781858903.83466,USD,19.912871000172085,11.0411,USD,29.550841292563295,1.76967659160288,Finance,Buy,219.86,USD,Investment managers
