Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-1.639930520077658,179302023,1.2003013221721364,4659226130754.958,USD,29.484823424913476,6.5298,USD,110.33338701884364,0.0204352712782262,Electronic technology,Strong buy,192.53,USD,Semiconductors
AAPL,Apple Inc.,3.136471015809557,261774949,4.734617737632885,4167977919594.3657,USD,34.328917921732284,8.2665,USD,29.004822172630675,0.381610030892241,Electronic technology,Buy,283.78,USD,Telecommunications equipment
GOOGN,Alphabet Inc. - Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,-1.4940646745804274,741953,0.290256092116063,4156136372134,USD,3.671495373442876,13.1091,USD,46.187815730487436,0.244392074714149,Technology services,No rating,48.13,USD,Internet software/Services
GOOGM,Alphabet Inc. - Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,-1.47088866189991,2214594,0.5002326564761624,4156136372134,USD,3.679123662188861,13.1091,USD,46.187815730487436,0.244392074714149,Technology services,No rating,48.23,USD,Internet software/Services
GOOGL,Alphabet Inc.,-1.8387594192778776,114706326,3.201665893154842,4079715023113.3525,USD,25.73708340008086,13.1091,USD,46.187815730487436,0.244392074714149,Technology services,Strong buy,337.39,USD,Internet software/Services
GOOG,Alphabet Inc.,-2.1917648090242263,82484198,3.5684037991962163,4065043637714.5107,USD,25.53111960393925,13.1091,USD,46.187815730487436,0.245477658610713,Technology services,Strong buy,334.69,USD,Internet software/Services
MSFT,Microsoft Corporation,5.708131394722684,186200796,4.190783443832064,2770583136248.3843,USD,22.213685445589963,16.7901,USD,29.74746147782946,1.00898449678315,Technology services,Strong buy,372.97,USD,Packaged software
AMZN,"Amazon.com, Inc.",2.502092418836178,248371939,4.381138903454604,2503071719899.4946,USD,27.80811931594106,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy,232.69,USD,Internet retail
SPCX,Space Exploration Technologies Corp,0.15032679738561422,126931643,,2020152587072.5093,USD,,,,,0,Communications,Buy,153.23,USD,Specialty telecommunications
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-0.6069105036897369,17974035,1.266465392022769,1947546076859.0117,USD,35.93304576923397,12.0321,USD,54.805465493283926,0.605982436377848,Electronic technology,Strong buy,432.35,USD,Semiconductors
